,id,name,summary
396,7882,Madden NFL 15,"Madden NFL 15 transforms you into your rival's worst nightmare with a new breed of defense built to challenge the best offenses in the NFL. An all-new intuitive tackling system and improved coverage logic make defense exciting and fun to play. Learn and hone your skills in the Gauntlet, an all-new mode in Skills Trainer that will take your new abilities through the ultimate test in intense conditions and challenges. Whether building your legacy in Connected Franchise or a dynasty in Ultimate Team, it's not just football, it's Madden Season!"
397,7886,Crypt of the NecroDancer,"Crypt of the NecroDancer is a hardcore roguelike rhythm game. Can you survive this deadly dungeon of dance, slay the NecroDancer, and recapture your still beating heart? Or will you be a slave to the rhythm for all eternity?"
398,7891,Hammerwatch,"Hammerwatch is an hack and slash action adventure, set in a fantasy pixel art environment! Play solo or co-op in this adventure from bottom to top of Castle Hammerwatch! Kill hordes of enemies with varied looks and features through four unique environments with traps, hidden secrets and puzzles!"
399,7895,La-Mulana,"La-Mulana is a 2D side-scrolling platform game, first released on May 27, 2005 in Japan for Microsoft Windows that features graphics and an interface inspired by MSX games. The game is a traditional action-adventure game, reminiscent of Metroid games. This game was originally only available in Japanese, but an English translation patch has been produced by Ian Kelley of AGTP."
400,7897,Chariot,"Chariot is a humoristic physics-based couch co-op platformer in which a brave princess and her suitor carry a funeral wagon through ancient caves, fending-off swarms of looters while amassing riches, to bury the King's remains in a worthy gold-filled tomb. If only that dead King would keep quiet...

The Chariot’s large wheels and long tethers allow the heroes to reach higher ground, swing across chasms and perform all sorts of impressive maneuvers. Extract riches from the very walls of the caves in multiple environments, and make your way to the exit by avoiding envious looters or by beating them back as they attempt to steal your hard-earned loot! With skill-testing coordination mechanics and thrilling physics-based stunts required, Chariot will definitely please couch coop enthusiasts as teamwork and cooperation unlocks new possibilities."
401,7937,La-Mulana 2,"In La-Mulana 2, you will take on the role of Lumisa Kosugi on a mission to find the entrance to the ruins of Eg-Lana, which is rumored to be the source of recent monster appearances. The ruins themselves are compromised of a variety of areas as well as huge boss creatures known as Guardians. Who knows what lies in wait at the end of Eg-Lana?"
402,7965,Kholat,"Kholat is a game developed by independent studio IMGN.PRO, inspired by true events known as the ""Dyatlov Pass Incident"". We follow the path of a group of Russian students, that went for an expedition in the northern Ural Mountains. The team does not reach its goal, the entire crew dies in mysterious circumstances.

Player is thrown into the area where the tragedy occurred, years after the actual event, with a chance to discover the real course of the tragedy. Atmosphere of anxiety and dread is created by fear management system. It is responsible for precise dosing of fear and uncertainty, based on what the player is doing, making each gameplay a unique experience."
403,8036,Verdun,"Verdun is the first multiplayer FPS set in a realistic World War One setting, the game which started the 1914-1918 WW1 Game series. The merciless trench warfare offers a unique battlefield experience, immersing you and your squad into intense battles of attack and defense."
404,8114,Jazzpunk,"Jazzpunk is a single-player, first-person adventure game, focusing on exploration and comedy over puzzle-solving. Each mission has one central objective, but the player is free to explore the game world at their own pace, which is populated with a large number of interactive NPCs, each with their own action or gag. Mini-games, including mini-golf, a Frogger clone, and a version of Duck Hunt in which the player pelts cardboard ducks with slices of bread from a toaster, also feature prominently in the game's storyline."
405,8138,Neverending Nightmares,"Neverending Nightmares is a psychological horror game inspired by the developer's actual battle with mental illness. In the game, you take on the role of Thomas who awakens from a terrible nightmare only to find that he is still dreaming. As he descends deeper through the layers of hellish dreamscapes, he must hide from horrifying apparitions and outrun his inner demons. He must discover which of the horrors he encounters are a manifestation of his own psychological state and figure out what reality will be when he finally wakes up."
406,8168,Tecmo Bowl,"A side-scrolling, four-player American football game that can be played as two-on-two, one-on-two, etc. The game is somewhat primitive in that there is no play pattern selection; only the receiver can be selected before play begins. One player controls the QB, the other plays the wide receiver/running back."
407,8173,Overwatch,"In Overwatch, you control one of several heroes in competitive 6-person team shooting matches. Battle over objectives, take down the other team, and achieve victory.

In Overwatch, heroes do battle in diverse locations around the world. From the technological marvel of Numbani to the manufacturing powerhouse of Volskaya, each map has a unique layout and specific win conditions that your team must meet in order to secure victory."
408,8174,Soul Saga: Episode 1,"Soul Saga is a traditional role-playing video game in the vein of the Final Fantasy, Suikoden, Breath of Fire, and Persona video game series. Battles are initiated similarly to Chrono Trigger, where combat begins upon the player directing the character into an enemy in the world map. Once initiated, combat consists of a turn based battle system similar to Final Fantasy X. The game will also have airship battles, similar to Skies of Arcadia. 
 
Exploration of the overworld map will also be a major aspect of gameplay, with the player being able to explore on foot similarly to Final Fantasy VII, and by airship similarly to Skies of Arcadia."
409,8187,Just Cause 3,"The Mediterranean republic of Medici is suffering under the brutal control of General Di Ravello, a dictator with an insatiable appetite for power. Enter Rico Rodriguez, a man on a mission to destroy the General’s hold on power by any means necessary. With over 400 square miles of complete freedom from sky to seabed and a huge arsenal of weaponry, gadgets and vehicles, prepare to unleash chaos in the most creative and explosive ways you can imagine."
410,8194,Tetris Ultimate,"The world’s most-loved puzzle game arrives on the latest next-gen consoles and is better than ever in Tetris Ultimate.

With six exciting modes, fun new features, and unique visuals, the evolution of this iconic game is the ultimate must-have on next-gen consoles."
411,8209,Mordheim: City of the Damned,"Mordheim: City of the Damned is the first video game adaptation of Games Workshop's cult classic tabletop game Mordheim. Set in the Warhammer World's decimated Empire city, Mordheim: City of the Damned is a turn-based tactical game where you lead warbands into bloody and lethal skirmishes. The game blends RPG elements, fast-paced tactical combat and intricate unit customization in a time wrought by chaos and rivalry where only the strongest survive."
412,8223,Assassin's Creed Chronicles: China,"Chronicles: China takes place after the film Assassin's Creed: Embers. It features the Chinese assassin Shao Jun in 1526. After being trained by legendary Italian assassin Ezio Auditore da Firenze, Shao Jun returns to her homeland to exact vengeance against the Templar group Eight Tigers, who wiped out the Chinese brotherhood. Shao Jun's quest took her through Macau, Nan'an, the Forbidden City and the Great Wall, as she killed the Tigers one by one and finally assassinating the final target, Zhang Yong. Years later, Shao Jun, who became an Assassin Mentor and had rebuilt the brotherhood, plotted the assassination of Jiajing Emperor by sending him an elixir of life.

Chronicles: China was originally announced in September 2014 as part of the season pass for Assassin's Creed Unity. It was released on April 21, 2015, in North America and April 22, 2015, in other territories, on Microsoft Windows, PlayStation 4 and Xbox One. Chronicles: China is the first title in the franchise to utilize Epic Games' Unreal Engine 3."
413,8236,Kinetica,"They're called kinetic suits. They represent a total merging of man and machine with one goal in mind: speed. High speed. The ""drivers"" do more than operate their cycles -- they become cycles for insane velocity and maneuverability in this ultimate futuristic race. Besides acceleration and braking, the kinetic suits allow various antigravity tricks that can be performed for speed boosts, not unlike the system seen in SSX. At breakneck speed, there's no room for error; quick decisions and lightning reflexes are needed to weave your way through the tight tracks. Strap yourself in for one of the fastest rides you'll ever experience with your PS2!"
414,8249,Secret Ponchos,"A stylish and original Spaghetti Western mulitplayer combat game. Secret Ponchos ambitiously delivers a new style of combat – isometric quick-twitch fighting. It’s fast-paced, tactical and addictively competitive. Watch the bounty on your head increase as you gun down others in both solo and gang fights. What's your Head Worth?"
415,8252,Escape Goat 2,"Escape Goat 2 is a puzzle platformer game where you use machinery, the environment, and a friendly mouse to progress through a dungeon. 

None have overcome the Stronghold of Toragos... will you be the first goat to do so? Escape Goat 2 is the follow-up to the critically-acclaimed 2011 indie game, featuring more than double the content: larger rooms, HD graphics, dynamic lighting, and a host of devilish new traps. 

Pick your path through the massive Stronghold, divided into ten unique zones. Worry not, brave Goat, for you have a friend on this mission: Your immortal mouse familiar can crawl to otherwise unreachable areas, to hit switches and distract enemies. Use your wits, reason, reflexes and courage to overcome each room, and save your friends from an eternal slumber..."
416,8255,Trine 3: The Artifacts of Power,"Trine 3: The Artifacts of Power is a fairytale journey which takes you on a quest with three heroes: Amadeus the Wizard, Pontius the Knight, and Zoya the Thief. Playable in singleplayer and online or local co-op - test your skills in combat and solve puzzles in the most creative ways!"
417,8256,N.E.R.O.: Nothing Ever Remains Obscure,"N.E.R.O.: Nothing Ever Remains Obscure is a wonderful journey in a world of incredible beauty where a kid is the key to all locks and the night is not as frightening as we all could think. 
 
Immerse yourself in a story-driven first-person game featuring puzzles with intuitive controls. The environment is heavily connected to the characters and their past. The world of N.E.R.O.is wide, magical and varied enough to make exploring an ongoing challenge. 
 
N.E.R.O. invites players to explore and experience feelings that are uncommon in video games, a game where the visual novel genre meets the puzzle game. 
 
Join this magic adventure in an unknown world, playing the role of a kid, followed by a mysterious black clothed companion. Discover through his eyes the history behind this tragic journey."
418,8258,Street Fighter V,"The legendary fighting franchise returns with STREET FIGHTER V. Stunning visuals depict the next generation of World Warriors in unprecedented detail, while exciting and accessible battle mechanics deliver endless fighting fun that both beginners and veterans can enjoy."
419,8259,Tacoma,"Tacoma is a sci-fi narrative adventure set aboard a high-tech space station in the year 2088. Explore every detail of how the station’s crew lived and worked, finding the clues that add up to a gripping story of trust, fear, and resolve in the face of disaster. From the creators of Gone Home."
420,8260,King's Quest: Adventures of Graham,"King’s Quest is a collection of five different chapter releases, each focusing on an untold tale in Graham’s past. In each chapter, an aging King Graham reflects on his life of adventure with his granddaughter, Gwendolyn, while players are transported back to influence first-hand the decisions and events that shaped a kingdom. Embark on an extraordinary journey across the world of Daventry."
421,8262,Lethal League,"Lethal League is a competitive projectile fighting game where you have to hit an anti-gravity ball into the face of your opponent to win. The ball speeds up with every strike, up to explosively extreme velocities. Play intense local matches with friends and foes, challenge yourself in the singleplayer mode or battle it out online."
422,8263,Assassin's Creed: Syndicate,"London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technologies once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money.

Not everyone is able to enjoy the benefits of this boom, however. Despite fueling the engine of the British Empire, workers’ lives are little more than legalized slavery while the top few percent profit from their labor. Living poor and dying young, the lower class unite in protest as a new kind of family, gangs, who turn to a life in the underworld in their struggle to survive. A struggle, until watchful Assassins come to their side and re-ignite an age-old conflict involving London’s leaders that will echo throughout modern history, from the underground up.

Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin’s Creed® Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat."
423,8288,The Banner Saga 2,The award winning and BAFTA nominated saga continues in The Banner Saga 2. Continue your journey soon after the climactic events of The Banner Saga. The choices you made in the first game will affect who is alive and who is dead in this exciting sequel.
424,8311,Titan Quest,"Titan Quest is an action role playing hack and slash video game developed by Iron Lore Entertainment. It was released worldwide by THQ on June 26, 2006. The game was released on Steam, along with the expansion Titan Quest: Immortal Throne, on July 17, 2007. The game is also available via Impulse, GamersGate, GameTap, Direct2Drive and OnLive. In 2013, the IP for Titan Quest, along with most of THQ's other games was purchased by Nordic Games."
425,8335,Blackguards 2,"Blackguards 2 is a turn-based strategy-RPG and will deliver challenging hexfield battles and a gritty story filled with violence and crime. 

Choose your playstyle: no matter if front line combat monster, mage or ranged fighter it's in your hands how you want to develop your character. Every action has consequences, so make your decisions wisely. Death may be just around the corner. 

-Recruit mercenaries, find upgrades and build an indomitable army 
-Find the Vanquishers of the Nine Hordes and see what has become of Takate, Naurim and Zurbaran 
-A story with many twists and turns, fateful decisions and more than 20 challenging hours of playtime awaits you 
-Command up to 20 characters in your party and lead them to death or glory 
-Master and finish the game on many different non-linear paths 
-Make decisions influencing your squad and the ending of the game 
-Choose your spells, talents and skills wisely, since they dictate your strategy on the battlefield. Give priority to offensive or tactic in challenging battles 
-Interact with your environment and let walls collapse or even discover new routes on your journey through Aventuria 
-Lay waste to your enemies with powerful spells and abilities. But be on your guard: your foes may wield them as well"
426,8339,Minecraft: Story Mode,"Minecraft: Story Mode is a five-part adventure series based on the sandbox building and exploration game Minecraft. Typical for Telltale games, it is a cinematic adventure where the story is driven through the player's choices. Decisions are carried over and influence characters and events. The game uses the original title's block design and introduces a story for the game world as there was none for the original title. At the start of the game the player can choose between six characters, three male and three female, with different appearances."
427,8347,The Long Dark,"How Far Will You Go to Survive? Imagine the lights go out, never to return. Bright aurora flare across the sky, and all humanity’s technological might is laid to waste, neutralized in a kind of quiet apocalypse. Everything that has shielded humanity from the disinterested power of Mother Nature is suddenly wrenched from us, dropping us a few links down the food chain. Food and water are scarce. The roads are no longer safe. And winter approaches… Welcome to The Long Dark —an immersive survival simulation set in the aftermath of a geomagnetic disaster. Experience a unique first-person survival simulation that will force you to think and push you to your limits with its thought-provoking gameplay and mature storytelling."
428,8352,The Unfinished Swan,"The Unfinished Swan is a game about exploring the unknown.

The player is a young boy chasing after a swan who has wandered off into a surreal, unfinished kingdom. The game begins in a completely white space where players can throw paint to splatter their surroundings and reveal the world around them."
429,8356,Astebreed,"You are Roy Becket, a young pilot with dreams of becoming as skilled as his adoptive father. When a galactic war with an ancient mechanical alien race reaches its boiling point, Roy is forced to spring into action and take control of an otherworldly bipedal war machine in hopes of saving what's left of humanity. Joining Roy is a young girl who claims to have escaped the clutches of the nefarious aliens. Forever altered through horrible experimentation, she now possesses the very abilities humanity will need to push back the doomsday clock. Together, they must battle an unrelenting army alone and reunite their shattered family. The End of All Things is in sight. At the edge of eradication stands Astebreed."
430,8361,Transformers: Fall of Cybertron,Transformers: Fall of Cybertron transports you to the final days of the planet Cybertron where you will experience the darkest hours of the apocalyptic war between the Autobots and Decepticons.
431,8366,Sniper Elite III,"Observe. Plan. Execute. Adapt. The latest chapter in the award-winning series, SNIPER ELITE 3 takes players to the unforgiving yet exotic terrain of North Africa in a savage conflict against Germany’s infamous Afrika Korps. 
 
Stalk your targets through the twisting canyons, lush oases and ancient cities of the Western Desert in the deadly rush to sabotage a Nazi super-weapons programme that could end Allied resistance for good. 
 
Use stealth, planning and execution to hunt your targets – whether human or machine. From signature long distance kills, to melee takedowns, distractions and explosive traps, you are as deadly up close as you are from afar. 
 
It must end here. You are the turning point. Because one bullet can change history..."
432,8409,Pure Pool,"Let the makers of Hustle Kings transport you to the slick and exhilarating world of Pure Pool. Experience a living, breathing, connected Pool Hall from the convenience of your own home and indulge spectacular visuals and signature, super-smooth gameplay. Whether you’re planning to weigh up the competition and hone your skills or rack-up and compete against the best, Pure Pool is the closest you’ll get to the real thing, without leaving your living room. Connect. Spectate. Compete."
433,8410,Happy Wars,"Happy Wars is an action-packed massive online multiplayer game where you can play together with as many as 30 players in one online session. And, it’s free-to-play. Team up with players all over the world and go crazy in wacky melees in a fantastic realm of heated sieges and big magical battles. Get premium items of beautiful graphic quality through Happy Cards and other means to power up your character. Charge through battlefields with your own personalized character."
434,8430,Shantae and the Pirate's Curse,"Embark on a brand new adventure with Shantae, the hair-whipping belly dancing genie. When she loses her magic, Shantae must team up with her nemesis, the nefarious pirate Risky Boots in order to save Sequin Land from an evil curse. As a pirate, Shantae gains new weapons to advance her quest, slay monsters, battle epic bosses…and hopefully get her magic back in the bargain! But can she really trust her deadliest enemy?

The third Shantae game is the biggest yet! Beyond Sequin Land lie cursed islands and labyrinths each hiding a new piece of Pirate Gear - Flintlock Pistol, Pirate Hat, Scimitar, Risky's Boots, and even a Cannon. Upgrade Shantae's hair and weapons or unlock advanced Fighter's Moves. Locate maps, return lost Heart Squids, collect rare loot, and laugh out loud at the weird, wild, and wonderfully humorous cast of characters. Incredible stereoscopic visuals, unlockable Pirate-Mode, multiple endings, and an unforgettable soundtrack make this one game you won't want to miss!"
435,8433,Lifeless Planet,"Lifeless Planet was inspired by Cold War era science fiction stories, posing questions about humankind's desire for space travel. What if you journeyed across the galaxy to another planet, only to find humans had already been there? What kind of person would sign up for a one-way mission, leaving behind planet Earth and everyone they've ever known and love... to go in search of an Earth-like planet?

Equipped with a limited-use jet-pack and a mobile robotic arm, the player must use wits and skill to solve puzzles, unravel the mystery, and survive the Lifeless Planet!"
436,8440,The Bridge,The Bridge is a 2D logic puzzle game that forces you to reevaluate your preconceptions of physics and perspective. It is Isaac Newton meets M. C. Escher. Manipulate gravity to redefine the ceiling as the floor while venturing through impossible architectures.
437,8465,Volgarr the Viking,"Remember when games were tough? Return to the Golden Age of arcades with an all-NEW hardcore action experience that pulls no punches. Volgarr the Viking possesses all the hallmarks of the true classics - simple controls, high challenge, and meticulous design - combined with hand-made pixel"
438,8467,Velocity 2X,"This critically acclaimed sequel to Velocity Ultra weaves together two classic game formats into one seamless adventure, featuring puzzle-platforming action alongside award-winning top-down shoot ‘em-up gameplay!"
439,8472,Gas Guzzlers Extreme,"Gas Guzzlers Extreme is fast, furious and armed to the teeth: lead-foot-trigger-happy shooter shifted into the 5th gear! It’s a fast-paced addictive combat racing game that features many different vehicles, weapons, upgrades, on-track bonuses as well as distinctive environments.
Players starts with low performance vehicles and gradually works his way up by earning money in a series of challenging races."
440,8480,Warhammer Quest,"Dungeon Adventures in the Warhammer World! 
Lead your group of brave adventurers through the perilous dungeons of the Warhammer world in the search for wealth and glory! Based on the classic Games Workshop board game, Warhammer Quest is a mix of adventure, strategy and role-playing."
441,8499,Five Nights at Freddy's,"Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food as far as the eye can see! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds! The robots' behavior has become somewhat unpredictable at night however, and it was much cheaper to hire you as a security guard than to find a repairman.

From your small office you must watch the security cameras carefully. You have a very limited amount of electricity that you're allowed to use per night (corporate budget cuts, you know). That means when you run out of power for the night- no more security doors and no more lights! If something isn't right- namely if Freddybear or his friends aren't in their proper places, you must find them on the monitors and protect yourself if needed!"
442,8500,Futuridium EP Deluxe,"An old school shoot'em up with a modern twist. Futuridium EP offers fast paced, non stop, hard as hell action, with an original 45 minutes soundtrack and colourful, glitchy graphic."
443,8506,Xeodrifter,"Xeodrifter is an action-packed exploration game with a retro graphical style. Blast your way through alien landscapes, seek out valuable secrets, and defeat ancient guardians to unlock powers from a legendary supreme culture in this exciting journey of mystery and adventure."
444,8507,Strike Suit Zero,"Strike Suit Zero is an action-packed arcade space shooter set in the final hours of a future Earth. The clock is ticking; your planet is about to be destroyed and its only hope is the Strike Suit -- an advanced, transforming spacecraft that empowers you with ludicrous firepower and awesome abilities. Every second is precious; you'll be forced to fight with fury, choose targets on instinct and make snap decisions that will not only affect the outcome of your mission but your path through the game and the ultimate destiny of seven billion lives."
445,8509,Skylanders: Trap Team,"In Skylanders Trap Team, Kaos continues his ongoing quest to rule over Skylands. He has discovered the location of the legendary Cloudcracker Prison -- a fortress built entirely out of the magical substance Traptanium and home to Skylands’ most nefarious baddies. In an attempt to build his own army of foes, Kaos blows up the prison, releasing the most wanted villains and blasting shards of Traptanium to Earth in the form of Traps. Now it’s up to Portal Masters to recapture all of the escaped villains using powerful Traptanium Traps and defeat Kaos before it’s too late!"
446,8510,Road Not Taken,"Road Not Taken is a roguelike puzzle game about surviving life’s surprises. You play as a ranger adventuring through a vast, unforgiving forest in the aftermath of a brutal winter storm, rescuing children who have lost their way. Randomly generated levels deliver a limitless supply of possibilities to explore and challenges to overcome. Your actions will influence not only your own story, but that of the villagers you hope to befriend and the town you call home."
447,8558,Forza Motorsport 6,"Experience unrelenting action in the most beautiful and comprehensive racing game of this generation. Collect, customize, and race over 450 Forzavista cars, all with working cockpits, opening doors and full damage. Compete in epic 24-player races across 26 world-famous locales. Master wet weather and night racing on your road to victory."
448,8566,Pro Evolution Soccer 2015,"PES 2015 is centered on the mantra 'the pitch is ours.' Through the combined efforts of the Tokyo and Windsor-based PES Productions team, the heart-thumping and nail-biting moments of top-flight football have been perfectly recreated. PES 2015 sees a true return to core PES values of total control, super responsive controls and renowned gameplay, where the user has unrestricted control over how they play. KONAMI has completely reworked a raft of key elements to ensure every pass, shot or off-the-ball run is finely balanced to give maximum player satisfaction within PES 2015's on-field action."
449,8596,Elliot Quest,"Elliot Quest is an adventure/RPG where players explore the mysterious Urele island in search of an ancient demon. With 5 dungeons to conquer, 16 bosses to defeat, and countless treasures to discover and hidden areas. Well-balanced gameplay easy to pick up but challenging to master."
450,8598,Citizens of Earth,"As the newly elected Vice President of the World, it's your job to save the Earth by recruiting friends, family, and the local townsfolk! ...A true politician would never get his own hands dirty, after all!"
451,8617,1001 Spikes,"Aban Hawkins & the 1000 Spikes is an 8-bit retro style ""Hardest Extremest Craziest Platform Action Puzzle Adventure."" Simple & intuitive rules. Elaborate level design. Various fierce traps, traps, traps! Return to the Golden Years of Video Game. No one can BEAT this game ... except you."
452,8634,Alien Shooter,"Alien Shooter is an top-down shooter video game from Sigma Team created in 2003. It is the first title in the Alien Shooter series to be followed by Alien Shooter: Vengeance. Alien Shooter has two expansions, Fight for Life and The Experiment. They each contain five new levels, including the conclusion to the alien shooter story."
453,8635,Alone With You,"Alone With You is a sci-fi game for people who love adventure, exploring and maybe even a little romance. 
 
You play the sole remaining member of a doomed terraforming colony. Your planet will crumble and implode in less than a month, and you must use your remaining time to try to escape. The catch? There is only one escape pod left, and it isn’t functioning. Even worse, the only people who specialized in its systems are all dead from the colony’s mysterious failure. But the colony’s AI is still with you, and together you plan to get yourselves off the planet—by recreating those key colony members and learning how to fix the ship, so you can both flee to safety. Alone With You is a Sony PubFund game and is launching exclusively on PlayStation 4 and PlayStation Vita."
454,8640,Ano Ko wa Ore kara Hanarenai,"Ano Ko wa Ore kara Hanarenai (""That Girl Can’t Separate Herself From Me"") is a Japanese romantic visual novel. The player assumes the role of Hiroto, a Japanese high school student, whom many of the girls in his school take interest in. The Microsoft Windows version of the game is rated for adults only whilst the console releases are toned down."
455,8642,Aqua Kitty: Milk Mine Defender,"Due to a sudden shortage of milk, cats around the world are forced to seek out new sources to get their fix. You and your team of milk mining kittens have overcome a fear of water to drill down under the ocean seabed and begin extracting vast reserves of what seems to be naturally forming full-fat milk. Get ready for fast paced submarine action, defending the kittens from disruptive mechanical sea creatures. The milk must flow!"
456,8644,Assault Android Cactus,"""Assault Android Cactus is a manic twin stick arena shooter for the PC with screens full of enemies, buckets of bullets and high scoring combo chains! Take on the role of Cactus, an enthusiastic police android, who responds to a stranded space freighter only to discover it under siege by its malfunctioning robot workers. Cut off from the outside and in over her head, Cactus and the androids she recruits along the way battle through the crippled Genki Star to reach the brain of the ship and put things right before it's too late."""
457,8651,Aztez,"In Aztez, you expand and maintain the Aztec empire through turn-based strategy, while managing violent outbreaks via real-time beat 'em up sequences. Every game is unique; different events will occur, different challenges will emerge, and different spoils will be taken each time you play. Spread, strengthen, subjugate!"
458,8652,Axiom Verge,"After a lab accident, a scientist awakens in a mysterious, alien world. Is this a distant planet? The far future? Or a complex virtual-reality computer simulation?

Plumb the recesses of a large, labyrinthine world in order to learn its secrets and uncover your role within it. Discover tons of weapons, items, and abilities, each with their own unique behaviors and usage. You’ll need your wits to find them all.
Combat bizarre biomechanoid constructs, the deadly fallout of an ancient war, and the demons of your own psyche.

And finally, break the game itself by using glitches to corrupt foes and solve puzzles in the environment. Life. Afterlife. Real. Virtual. Dream. Nightmare. It's a thin line.

It's Axiom Verge."
459,8654,ADR1FT,"ADR1FT is an immersive First Person Experience (FPX) that tells the story of an astronaut in peril. Floating silently amongst the wreckage of a destroyed space station with no memory and a severely damaged EVA suit slowly leaking oxygen, the only survivor struggles to determine the cause of the catastrophic event that took the lives of everyone on board. The player fights to stay alive by exploring the wreckage for precious resources, and overcomes the challenges of an unforgiving environment to repair the damaged EEV and safely return home."
460,8655,MLB 15: The Show,"The 10th edition of the franchise, MLB 15 The Show is a more immersive and exciting baseball experience than ever before with substantial improvements. New features include: 
 
• Year-to-Year Saves – Users who purchased MLB 14 The Show will be able to continue their Franchise and Road to the Show progress in MLB 15 The Show. Saves between the two releases will be forward-compatible, meaning you never have to worry about starting your Franchise or Road to the Show seasons over! 
• Legends – We’re introducing 30 Iconic MLB Alumni into our virtual player card pool, 1 representative for each team. These players span every historic baseball era of the last 70 years. Like all of our Universal Rewards, you have a chance of finding a historic virtual player card to add to your collection and utilize throughout MLB 15 The Show."
461,8660,Backgammon Blitz,"Backgammon's back... with a bang! Beloved by millions, played for centuries, backgammon is a two-player strategy game quite unlike any other. The goal is simple: race to get your checkers off the board first, but the deceptively deep rules and rhythm of backgammon has secured it as a favorite among casual and veteran players alike."
462,8702,Dreaming Sarah,"Dreaming Sarah is an adventure game where you explore the dream world of a young girl named Sarah, who is in a deep coma. Collect items and abilities as you solve puzzles, interact with people and objects to try to wake up."
463,8729,Vampyr,"Vampyr is set in early 20th century Britain as the country is gripped by the lethal Spanish flu and the streets of London are crippled by disease, violence and fear. In a disorganized and ghostly city, those foolish, desperate, or unlucky enough to walk the streets lay prey to Britain’s most elusive predators: the vampires. Emerging from the chaos, a tormented figure awakens. You are Jonathan E. Reid, a high-ranking military surgeon transformed into a vampire upon his return home from the frontline.

Explore the darkly atmospheric streets of early 20th century London, and interact with a multitude of characters with their own identities and importance. Accept and fulfill the missions they give you, but don’t forget: sooner or later, you will have to feed, and make a difficult choice... who will be your prey? Absolutely all characters in the game are potential victims of your vampiric lust. Carefully study the habits of your next victim, his or her relationships with other characters, and set up your strategy to feed, unnoticed: seduce them, change their daily habits, or make sure they end up alone in a dark street...

Be careful who you choose to hunt, as they will be gone forever, and their death will impact in a meaningful way the world that surrounds you. Feeding on human blood will not just keep you ""alive""; it will also unlock new vampiric powers to use.

There will be times when exploration and seduction will only get you so far, and you'll need to resort to engaging in Vampyr's dynamic real-time combat. It blends hard-hitting melee combat with ranged shooting mechanics and the supernatural vampire powers. You'll face many types of enemies: different species of vampires and creatures, as well as vampire hunters who want to hunt you down with their weapons, tools and traps. In Vampyr, your health and the ""energy"" that drives your supernatural powers are one and same! Using powers will drain your own blood, giving you an edge in battle but also leaving you weaker. You will have to find a way to feed during combat to replenish your strength.

Vampyr also offers a deep crafting system. Find and loot materials and components from the fresh corpses of your victims or during exploration, in order to craft and improve tools, melee and ranged weapons, as well as special ammunitions and coating to exploit the weaknesses of your enemies.

As you cling to what remains of your humanity, your decisions will ultimately shape the fate of your hero while searching for answers in the coughing, foggy aftermath of the Spanish Flu."
464,8730,ScreamRide,"Screamride is a full-featured, physics-based coaster game where creativity and destruction are equally welcomed. This game features stunning high definition graphics, hundreds of customizable building components, physics-based destruction, cinematic collisions, unlockable levels, in-game leaderboards, global rankings & more."
465,8731,Godzilla: The Game,"Godzilla is a video game developed by Natsume Atari and published by Bandai Namco games for the PlayStation 3 and 4. It was released on December 18, 2014 in Japan, on July 14, 2015 in North America, and on July 17, 2015 in Europe. 
 
The Japanese version of the PlayStation 4 Godzilla is titled Godzilla VS and was released on July 16, 2015. Godzilla VS is the exact same game as the PlayStation 4 Godzilla. 
 
""Godzilla, the King of the Monsters, first appeared in 1954. Scientists studied Godzilla and found that they could harness energy from the monster. Called “G-Energy,” this seemingly endless source of power was used to better the lives of all mankind. 60 years later, just when mankind’s memory of the beast faded, Godzilla appeared again. Godzilla destroyed at will, all in search of more G-Energy. Such irony, the same G-Energy which was used to better the people’s lives, also caused Godzilla to awaken. Can the G-Force, mankind’s last hope, stop Godzilla? What fate awaits Godzilla once he has consumed all of the G-Energy, and grown to his full potential? 
 
Bash your way through over 20 stages of mayhem. Explore Mission Mode, Diorama Mode, and King of Monsters Mode! Collect G-Energy in each stage to Power-Up your Godzilla up to 100 Meters tall! Your offensive and defensive prowess will increase with your size."""
466,8750,N++,"N++ is a fast-paced, action-packed platformer set in the distant future. You play as a ninja, darting through obstacles, narrowly evading a slew of inadvertently homicidal enemy robots and collecting gold in a minimalist, sci-fi world. N++ is all about smooth physics, deftly controlling the speed and inertia of the character, and the awesome feeling of fluidly moving through each level."
467,8751,Stranded Deep,"Stranded Deep will feature a unique physically-based crafting and building system. Great care has been taken to minimize, even eliminate, most of the in-game UI. You will be able to craft a variety of crude weapons and tools such as spears, axes, knives, bows and even crossbows. And then there’s an assortment of everyday items to figure out how to craft. You will also be able to build a diverse range of unique shelters and rafts."
